initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
24,35,5,14,0,0.0925926,1,24
25,34,4,16,0,0.0740741,1,25
16,41,3,10,0,0.0555556,1,16
15,40,1,13,0,0.0185185,1,15
21,37,2,15,0,0.037037,1,21
12,44,2,8,0,0.037037,1,12
15,40,1,13,0,0.0185185,1,15
12,45,3,6,0,0.0555556,1,12
19,39,4,11,0,0.0740741,1,19
21,37,4,13,0,0.0740741,1,21
15,44,3,7,0,0.0555556,1,15
23,33,2,19,0,0.037037,1,23
24,32,2,20,0,0.037037,1,24
30,34,9,11,0,0.166667,1,30
16,39,1,14,0,0.0185185,1,16
26,34,4,16,0,0.0740741,1,26
30,32,8,14,0,0.148148,1,30
30,33,7,14,0,0.12963,1,30
15,41,2,11,0,0.037037,1,15
21,34,1,19,0,0.0185185,1,21
21,37,4,13,0,0.0740741,1,21
21,36,3,15,0,0.0555556,1,21
25,34,4,16,0,0.0740741,1,25
14,42,2,10,0,0.037037,1,14
20,38,3,13,0,0.0555556,1,20
27,30,3,21,0,0.0555556,1,27
22,37,4,13,0,0.0740741,1,22
17,39,2,13,0,0.037037,1,17
21,35,2,17,0,0.037037,1,21
15,39,0,15,0,0,1,15
19,38,3,13,0,0.0555556,1,19
18,40,3,11,0,0.0555556,1,18
18,40,3,11,0,0.0555556,1,18
20,37,3,14,0,0.0555556,1,20
21,35,2,17,0,0.037037,1,21
26,33,5,16,0,0.0925926,1,26
24,33,3,18,0,0.0555556,1,24
21,34,1,19,0,0.0185185,1,21
21,40,7,7,0,0.12963,1,21
23,36,4,14,0,0.0740741,1,23
14,41,1,12,0,0.0185185,1,14
21,37,3,14,0,0.0555556,1,21
25,34,5,15,0,0.0925926,1,25
24,33,3,18,0,0.0555556,1,24
32,28,5,21,0,0.0925926,1,32
20,37,3,14,0,0.0555556,1,20
26,34,5,15,0,0.0925926,1,26
27,32,4,18,0,0.0740741,1,27
23,35,4,15,0,0.0740741,1,23
20,39,4,11,0,0.0740741,1,20
19,40,3,11,0,0.0555556,1,19
22,34,2,18,0,0.037037,1,22
32,29,6,19,0,0.111111,1,32
33,30,8,16,0,0.148148,1,33
22,35,3,16,0,0.0555556,1,22
20,37,3,14,0,0.0555556,1,20
27,31,3,20,0,0.0555556,1,27
28,31,5,18,0,0.0925926,1,28
20,39,4,11,0,0.0740741,1,20
16,41,2,11,0,0.037037,1,16
27,33,4,17,0,0.0740741,1,27
22,35,3,16,0,0.0555556,1,22
19,39,4,11,0,0.0740741,1,19
19,38,3,13,0,0.0555556,1,19
28,33,4,17,0,0.0740741,1,28
23,36,5,13,0,0.0925926,1,23
16,45,5,4,0,0.0925926,1,16
25,35,5,14,0,0.0925926,1,25
26,36,4,14,0,0.0740741,1,26
23,34,3,17,0,0.0555556,1,23
26,32,4,18,0,0.0740741,1,26
28,31,4,19,0,0.0740741,1,28
25,35,4,15,0,0.0740741,1,25
32,29,6,19,0,0.111111,1,32
35,28,7,19,0,0.12963,1,35
27,30,3,21,0,0.0555556,1,27
25,33,4,17,0,0.0740741,1,25
20,38,3,13,0,0.0555556,1,20
28,29,2,23,0,0.037037,1,28
28,32,4,18,0,0.0740741,1,28
26,31,3,20,0,0.0555556,1,26
23,35,3,16,0,0.0555556,1,23
19,39,3,12,0,0.0555556,1,19
22,35,2,17,0,0.037037,1,22
16,39,1,14,0,0.0185185,1,16
25,32,3,19,0,0.0555556,1,25
21,36,3,15,0,0.0555556,1,21
21,36,2,16,0,0.037037,1,21
15,42,3,9,0,0.0555556,1,15
30,30,5,19,0,0.0925926,1,30
32,30,7,17,0,0.12963,1,32
25,34,5,15,0,0.0925926,1,25
34,30,7,17,0,0.12963,1,34
29,31,4,19,0,0.0740741,1,29
32,27,5,22,0,0.0925926,1,32
21,37,4,13,0,0.0740741,1,21
30,30,4,20,0,0.0740741,1,30
28,32,5,17,0,0.0925926,1,28
23,32,1,21,0,0.0185185,1,23
24,34,3,17,0,0.0555556,1,24
29,30,4,20,0,0.0740741,1,29
24,36,6,12,0,0.111111,1,24
22,35,3,16,0,0.0555556,1,22
22,37,3,14,0,0.0555556,1,22
24,31,1,22,0,0.0185185,1,24
31,27,4,23,0,0.0740741,1,31
32,30,7,17,0,0.12963,1,32
37,23,6,24,1,0.111111,1,37
23,37,6,11,0,0.111111,1,23
32,32,8,14,0,0.148148,1,32
22,36,4,14,0,0.0740741,1,22
22,35,2,17,0,0.037037,1,22
37,27,10,17,0,0.185185,1,37
40,27,11,16,0,0.203704,1,40
26,32,4,18,0,0.0740741,1,26
19,38,3,13,0,0.0555556,1,19
24,33,3,18,0,0.0555556,1,24
29,32,7,15,0,0.12963,1,29
28,35,8,11,0,0.148148,1,28
20,37,2,15,0,0.037037,1,20
36,30,9,15,0,0.166667,1,36
20,38,3,13,0,0.0555556,1,20
29,31,4,19,0,0.0740741,1,29
24,35,5,14,0,0.0925926,1,24
21,38,4,12,0,0.0740741,1,21
22,35,3,16,0,0.0555556,1,22
28,32,5,17,0,0.0925926,1,28
29,31,6,17,0,0.111111,1,29
22,38,5,11,0,0.0925926,1,22
28,29,3,22,0,0.0555556,1,28
28,27,1,26,0,0.0185185,1,28
30,29,4,21,0,0.0740741,1,30
29,31,5,18,0,0.0925926,1,29
30,30,5,19,0,0.0925926,1,30
31,31,6,17,0,0.111111,1,31
37,29,8,17,0,0.148148,1,37
30,27,3,24,0,0.0555556,1,30
31,29,6,19,0,0.111111,1,31
28,32,6,16,0,0.111111,1,28
24,36,5,13,0,0.0925926,1,24
26,34,5,15,0,0.0925926,1,26
25,33,4,17,0,0.0740741,1,25
28,30,4,20,0,0.0740741,1,28
34,28,5,21,0,0.0925926,1,34
