initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
68,17,19,12,6,0.351852
61,15,17,15,7,0.314815
55,20,15,16,3,0.277778
61,21,21,9,3,0.388889
43,22,9,21,2,0.166667
57,24,19,10,1,0.351852
62,17,18,14,5,0.333333
66,17,17,15,5,0.314815
54,20,13,19,2,0.240741
63,16,20,11,7,0.37037
52,19,12,19,4,0.222222
43,29,12,13,0,0.222222
51,25,15,14,0,0.277778
55,20,12,19,3,0.222222
56,23,17,13,1,0.314815
52,21,14,18,1,0.259259
63,12,16,16,10,0.296296
53,22,15,15,2,0.277778
47,25,17,12,0,0.314815
57,18,15,15,6,0.277778
38,26,7,21,0,0.12963
52,19,15,16,4,0.277778
54,19,16,16,3,0.296296
46,24,10,20,0,0.185185
62,15,18,15,6,0.333333
59,22,19,10,3,0.351852
57,17,15,19,3,0.277778
63,18,19,15,2,0.351852
54,17,15,17,5,0.277778
52,21,13,18,2,0.240741
53,26,15,13,0,0.277778
47,21,11,20,2,0.203704
57,22,12,18,2,0.222222
48,25,11,18,0,0.203704
57,14,13,19,8,0.240741
48,23,10,19,2,0.185185
53,21,13,18,2,0.240741
42,21,7,23,3,0.12963
48,20,10,19,5,0.185185
53,22,15,14,3,0.277778
54,20,13,18,3,0.240741
60,21,20,12,1,0.37037
58,14,17,15,8,0.314815
58,15,14,17,8,0.259259
57,20,14,16,4,0.259259
58,17,15,17,5,0.277778
65,13,17,15,9,0.314815
44,24,13,16,1,0.240741
54,21,15,17,1,0.277778
63,18,19,15,2,0.351852
65,15,20,15,4,0.37037
46,24,12,17,1,0.222222
57,19,19,16,0,0.351852
59,15,14,19,6,0.259259
60,20,18,13,3,0.333333
43,26,7,21,0,0.12963
56,17,13,20,4,0.240741
53,20,15,15,4,0.277778
53,21,13,19,1,0.240741
54,15,10,22,7,0.185185
63,19,19,12,4,0.351852
58,20,17,13,4,0.314815
43,22,7,22,3,0.12963
48,20,10,20,4,0.185185
61,14,16,18,6,0.296296
52,20,10,22,2,0.185185
56,20,14,19,1,0.259259
66,14,17,15,8,0.314815
50,21,12,19,2,0.222222
52,24,19,11,0,0.351852
51,23,14,16,1,0.259259
48,21,11,19,3,0.203704
46,24,12,18,0,0.222222
43,22,8,22,2,0.148148
46,29,12,13,0,0.222222
47,20,12,19,3,0.222222
61,23,19,10,2,0.351852
54,22,14,16,2,0.259259
62,19,18,13,4,0.333333
64,18,17,16,3,0.314815
57,12,13,20,9,0.240741
65,15,17,14,8,0.314815
49,22,13,17,2,0.240741
50,20,10,21,3,0.185185
61,18,20,11,5,0.37037
44,24,13,16,1,0.240741
62,18,19,16,1,0.351852
55,19,15,16,4,0.277778
50,24,15,14,1,0.277778
49,24,13,16,1,0.240741
52,24,14,16,0,0.259259
33,28,7,19,0,0.12963
61,15,19,13,7,0.351852
47,19,9,23,3,0.166667
56,24,15,14,1,0.277778
50,20,13,18,3,0.240741
54,19,17,16,2,0.314815
59,14,14,20,6,0.259259
48,24,12,18,0,0.222222
58,18,15,17,4,0.277778
44,24,12,17,1,0.222222
