1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
16,22,22,16,14,15,19,24,22,20,15,11,18,24,16,17,9,16,20,20,12,24,22,13,16,14,22,21,11,18,19,21,9,24,14,24,13,19,18,13,16,17,17,8,14,14,14,8,18,18,847
24,12,11,20,19,20,16,17,24,21,21,17,20,22,14,18,10,11,19,24,15,24,22,21,22,13,24,15,18,14,24,19,18,19,19,20,19,14,15,17,16,21,24,17,14,20,14,16,13,20,907
19,16,18,17,17,10,23,22,18,20,21,9,9,14,24,12,9,11,21,24,16,11,24,19,11,13,11,13,15,17,17,24,16,12,19,11,16,15,10,17,19,21,18,16,21,22,20,9,16,20,823
17,12,17,17,15,7,10,21,24,24,15,12,13,22,9,24,13,11,10,13,16,22,24,22,18,22,19,17,18,14,11,19,20,17,14,18,20,9,16,23,17,15,18,14,19,12,19,16,14,20,829
18,11,15,15,21,17,18,7,15,20,13,12,14,15,15,11,15,20,11,18,15,23,13,18,10,20,6,16,18,16,16,15,12,13,24,15,17,12,16,16,18,15,19,19,9,11,16,11,23,22,775
19,17,11,22,13,18,12,15,22,15,20,19,14,18,14,8,14,10,14,19,16,13,24,17,9,9,13,11,13,15,15,10,14,13,22,15,12,13,16,16,18,9,10,18,22,13,14,13,20,21,758
13,10,17,7,11,11,16,10,23,24,13,13,17,11,15,9,15,15,20,13,14,17,12,17,14,10,15,16,17,19,11,15,15,15,7,10,12,15,11,14,17,19,20,16,18,14,19,24,22,9,737
18,22,19,9,14,21,8,18,23,15,13,16,14,12,13,11,18,14,11,19,13,9,19,10,15,16,14,8,18,18,13,16,15,17,10,14,5,15,15,10,11,11,20,16,12,11,16,15,18,12,720
19,13,14,16,15,12,9,12,17,8,14,12,12,18,13,14,6,16,22,10,14,14,16,13,11,13,8,23,13,13,18,17,14,12,14,14,13,12,8,14,17,16,21,7,16,13,18,14,14,13,695
4,11,11,19,16,14,18,17,15,20,15,12,7,14,15,6,21,11,9,8,8,19,13,9,8,12,15,8,8,12,15,15,13,16,12,6,15,18,14,14,14,11,9,12,11,12,10,15,9,11,627
17,9,8,8,10,6,10,9,15,11,16,19,18,9,5,6,18,8,14,20,8,9,17,10,13,20,8,14,13,8,8,11,14,9,10,16,11,6,10,4,9,9,8,11,11,16,14,12,20,17,582
16,8,10,7,7,11,18,14,6,17,12,17,11,10,7,9,10,10,10,8,11,15,15,9,13,11,15,12,6,15,12,17,19,10,10,12,10,22,18,11,9,14,15,15,11,7,9,19,5,11,596
8,14,11,9,7,9,16,13,12,13,14,11,10,10,6,7,23,9,11,9,3,12,9,9,9,11,8,14,14,14,8,11,18,10,6,12,8,15,15,14,9,12,13,15,9,12,9,8,10,5,544
8,12,9,12,5,10,16,16,11,19,8,12,13,14,10,14,12,9,15,7,9,11,11,10,7,11,10,17,12,5,11,10,10,8,9,9,11,12,16,11,15,12,9,11,7,14,6,13,12,9,550
11,12,7,11,11,10,7,11,9,7,5,5,17,17,13,9,15,20,11,10,15,13,6,11,8,13,11,12,14,16,11,15,10,16,18,15,8,11,11,8,15,9,17,12,9,10,13,14,9,11,579
11,11,9,5,13,12,3,8,11,16,14,11,10,17,11,7,12,9,15,14,12,13,7,6,8,17,11,13,8,6,7,6,8,11,13,7,11,16,18,12,12,12,17,14,16,10,14,9,11,17,561
14,4,8,8,13,8,20,12,9,7,6,6,13,7,7,16,16,11,12,12,12,9,9,9,14,14,11,11,9,16,15,8,7,13,18,8,7,8,12,6,9,7,13,14,8,13,11,14,13,6,533
6,11,10,10,8,11,3,13,10,10,8,6,6,14,7,12,8,9,11,12,20,13,8,11,11,8,12,13,11,7,14,10,12,15,11,8,11,17,11,10,12,10,11,13,11,13,6,10,11,14,529
13,8,7,10,10,10,11,8,12,7,15,11,8,9,10,6,10,5,12,8,9,15,13,11,10,11,10,7,13,13,6,12,10,8,9,9,11,13,8,14,11,7,7,11,8,11,10,12,14,12,505
7,3,11,11,8,6,8,12,10,13,4,6,9,11,4,8,7,8,9,12,14,9,17,13,7,11,15,7,10,9,12,15,14,12,10,5,6,11,14,14,7,8,10,10,6,11,16,12,16,13,501
8,5,10,5,10,10,8,10,9,3,12,5,14,9,12,10,8,10,6,10,10,11,7,14,5,13,12,12,9,14,5,9,6,9,10,4,8,11,10,15,8,4,3,8,14,13,10,12,18,6,464
9,3,12,14,13,7,7,9,8,12,7,8,7,9,10,11,9,13,6,15,12,17,12,12,10,8,17,11,12,8,14,8,5,10,8,8,7,16,10,8,8,12,9,10,18,16,6,12,16,5,514
10,5,8,10,14,10,14,6,9,7,7,4,9,10,8,8,10,9,13,6,7,13,12,10,5,9,8,12,7,9,6,5,6,12,17,5,10,16,12,11,4,13,14,8,10,4,14,4,11,10,461
10,4,9,6,9,13,14,11,8,12,5,7,13,5,6,6,13,8,8,8,6,11,7,4,7,11,7,14,15,4,10,10,7,11,13,9,10,13,10,8,9,11,10,7,8,9,11,11,10,6,454
5,7,6,13,10,4,5,7,11,6,12,9,6,14,10,13,13,7,5,7,11,8,9,5,8,4,5,6,12,12,16,6,8,14,6,9,6,8,4,11,5,8,11,11,8,11,9,9,5,10,425
9,8,12,6,11,3,11,7,8,3,1,9,7,15,5,8,9,10,12,10,8,5,11,13,5,7,5,18,9,7,16,4,9,12,10,7,14,12,12,14,8,12,10,11,8,16,7,12,6,9,461
