1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
2,9,3,9,6,11,12,8,8,9,4,13,11,14,10,9,8,7,12,9,3,12,8,8,9,11,10,5,8,8,8,11,4,7,5,7,13,10,8,12,7,5,5,4,5,5,7,9,10,7,405
10,12,11,4,2,10,6,8,6,7,8,8,14,8,8,6,7,5,8,10,12,7,5,4,11,6,3,11,4,10,10,8,4,8,6,9,8,3,12,6,8,5,1,7,10,2,8,9,9,13,377
7,8,9,8,8,7,10,4,11,14,8,7,6,11,4,14,8,9,6,2,11,12,13,10,9,7,7,11,4,11,10,5,8,14,8,3,5,4,4,9,11,10,17,7,5,6,10,13,7,11,423
6,6,9,10,6,11,6,6,8,10,7,5,8,5,10,7,9,6,6,13,9,3,10,8,6,8,8,5,10,8,9,8,4,6,6,11,12,11,13,7,11,4,13,12,8,12,10,11,9,15,421
10,10,12,10,8,9,10,8,8,9,11,6,10,7,6,15,16,3,5,13,10,5,8,9,8,9,7,8,7,11,7,6,10,11,5,10,9,6,16,7,5,13,9,9,15,12,5,8,8,6,445
6,9,7,6,3,11,6,8,10,9,9,7,15,12,7,15,9,8,13,10,7,9,11,20,7,12,8,19,11,13,5,8,13,8,8,14,14,5,6,14,9,8,9,14,9,7,15,13,10,6,492
12,14,9,13,11,8,19,10,12,15,8,14,10,8,10,9,10,12,11,8,8,12,9,8,9,14,7,17,16,7,9,10,3,7,8,3,9,13,15,16,15,14,9,12,13,10,13,10,10,9,538
12,7,8,9,8,8,17,9,9,10,9,15,7,7,18,11,16,13,7,17,11,16,15,8,11,14,11,12,16,10,11,10,13,13,12,15,10,14,19,13,6,8,9,9,6,16,12,13,8,14,572
14,13,13,19,9,8,5,9,16,12,7,7,13,8,15,12,9,9,14,8,11,17,9,11,8,12,17,10,13,7,6,11,19,11,10,10,11,20,11,13,13,13,11,19,15,10,12,9,9,14,582
13,18,11,16,15,14,14,13,10,11,8,10,16,14,14,7,14,10,14,15,14,16,20,12,20,14,10,9,13,19,13,15,10,8,10,12,8,15,7,8,12,9,15,9,12,14,13,11,14,11,630
16,14,9,11,10,8,11,16,13,11,17,16,11,14,14,15,13,19,16,9,18,9,10,11,10,16,12,16,18,14,21,13,5,18,8,7,13,12,10,11,13,11,12,14,13,13,16,10,10,16,643
9,17,13,15,16,10,20,13,9,12,14,13,15,12,12,9,15,9,18,18,15,13,12,12,7,14,11,16,14,15,16,9,5,14,8,11,24,12,16,15,10,12,14,9,11,17,13,12,12,14,652
16,8,7,18,9,9,14,12,10,11,11,15,17,12,12,16,16,7,15,11,11,19,9,15,13,13,12,8,18,9,14,14,16,11,9,22,20,14,11,12,17,20,11,15,14,16,12,12,12,16,661
8,14,17,12,14,18,9,16,16,15,14,21,10,9,15,18,13,14,17,19,18,12,14,8,21,18,15,16,14,15,12,17,22,9,8,14,8,14,14,9,12,11,18,15,16,16,16,12,11,8,702
19,11,13,12,9,15,14,17,11,20,8,18,14,19,14,11,16,24,13,7,15,13,13,17,18,15,13,19,13,16,15,12,5,12,7,11,15,15,9,16,12,11,11,15,15,15,10,17,15,18,693
14,14,8,18,14,20,15,17,13,15,16,16,17,12,23,10,16,21,22,20,19,9,14,15,11,6,20,20,11,13,24,11,12,15,18,19,16,18,21,14,10,19,18,17,11,19,20,9,21,14,785
15,11,12,14,9,16,13,16,16,16,16,14,14,10,21,18,17,15,15,19,18,18,13,18,15,18,11,17,16,18,17,15,18,18,23,20,15,20,19,19,15,15,15,19,17,20,14,23,12,13,806
17,21,20,18,22,19,15,14,15,23,22,23,11,16,9,21,22,12,10,14,12,16,19,24,22,22,20,18,21,13,24,18,12,12,23,24,17,21,18,19,19,18,12,23,13,22,18,19,12,14,889
