initate MTCD,emtpyPre,collidePre,successPre,grant fail
65,15,20,13,6
51,20,14,17,3
60,19,19,13,3
70,11,23,10,10
72,13,23,12,6
57,17,16,16,5
59,17,16,17,4
48,24,13,17,0
50,21,13,18,2
56,16,13,19,6
45,25,10,19,0
49,22,13,18,1
43,24,9,20,1
73,16,23,12,3
67,17,20,15,2
51,19,12,20,3
46,21,12,18,3
60,20,14,17,3
46,23,12,18,1
59,20,15,14,5
58,16,16,18,4
72,14,25,12,3
61,17,17,15,5
38,24,7,22,1
62,16,18,16,4
54,18,15,17,4
71,13,19,17,5
61,14,16,17,7
64,19,21,13,1
66,16,16,17,5
45,25,10,19,0
49,22,10,19,3
62,17,19,14,4
58,15,14,18,7
64,14,15,18,7
57,18,14,20,2
57,24,16,14,0
52,20,13,17,4
49,22,12,19,1
61,19,20,11,4
56,18,16,16,4
46,25,13,16,0
61,17,16,16,5
44,23,12,18,1
61,12,14,18,10
59,17,15,17,5
54,19,11,20,4
64,15,15,18,6
53,20,14,17,3
48,22,13,18,1
61,10,14,17,13
63,17,18,14,5
53,21,13,18,2
42,25,12,17,0
62,14,17,19,4
58,23,22,8,1
54,19,14,17,4
56,21,14,17,2
41,28,12,14,0
64,14,19,13,8
64,12,16,18,8
68,12,20,14,8
58,21,15,18,0
53,21,15,15,3
55,21,16,13,4
49,21,10,20,3
49,24,12,17,1
62,11,15,21,7
67,13,18,15,8
54,22,17,14,1
44,23,9,20,2
55,21,17,13,3
53,22,12,19,1
67,14,19,17,4
52,19,10,20,5
56,23,14,15,2
43,21,10,20,3
55,21,18,12,3
51,24,17,12,1
63,12,15,18,9
56,15,14,20,5
61,21,22,10,1
49,24,14,15,1
43,26,8,20,0
65,18,18,15,3
56,21,15,16,2
39,27,11,16,0
58,15,15,22,2
62,14,17,17,6
65,14,18,13,9
58,16,14,22,2
54,19,16,15,4
50,20,14,17,3
51,16,12,20,6
52,21,13,17,3
50,16,9,22,7
57,17,11,21,5
56,18,13,18,5
54,19,14,19,2
55,18,15,16,5
62,13,17,14,10
46,20,12,18,4
54,21,14,18,1
39,29,10,15,0
62,20,19,13,2
50,24,15,14,1
39,26,10,18,0
52,26,16,12,0
45,28,11,15,0
64,17,18,16,3
60,18,14,18,4
66,19,22,13,0
58,17,17,16,4
62,17,15,17,5
66,12,18,17,7
58,19,15,17,3
59,20,18,14,2
58,21,18,14,1
46,30,13,11,0
52,19,14,17,4
50,23,13,16,2
45,24,10,19,1
62,14,17,18,5
61,16,17,16,5
59,16,14,18,6
68,18,20,10,6
55,21,10,20,3
55,14,13,18,9
69,13,19,15,7
55,18,17,14,5
63,17,15,17,5
61,17,15,19,3
54,21,14,16,3
41,26,9,19,0
51,19,12,19,4
50,21,13,18,2
51,18,14,18,4
55,16,14,19,5
54,24,15,15,0
42,25,9,20,0
61,15,17,18,4
51,22,13,18,1
53,22,16,14,2
55,20,14,17,3
44,25,10,19,0
40,20,6,23,5
59,18,16,13,7
49,22,14,16,2
62,21,17,14,2
59,17,15,15,7
51,20,14,16,4
57,19,15,15,5
66,15,19,16,4
52,22,14,17,1
59,13,14,18,9
47,25,11,18,0
63,16,18,16,4
69,13,17,17,7
65,18,23,12,1
67,14,19,18,3
52,21,16,15,2
45,22,12,19,1
43,24,11,19,0
62,18,15,18,3
54,18,13,18,5
51,20,13,19,2
52,19,12,20,3
45,24,11,19,0
50,22,13,16,3
61,16,17,16,5
46,20,11,19,4
62,16,18,16,4
46,20,10,21,3
62,17,19,16,2
72,15,23,11,5
61,20,17,16,1
46,22,10,21,1
55,20,17,14,3
51,21,13,18,2
58,15,17,16,6
59,16,17,17,4
67,14,20,16,4
58,18,18,12,6
39,29,10,15,0
70,14,22,12,6
59,18,18,13,5
59,18,15,18,3
57,17,16,19,2
48,23,13,16,2
40,30,10,14,0
57,18,17,15,4
57,22,17,13,2
49,22,12,19,1
50,24,17,13,0
58,20,17,16,1
57,20,16,15,3
54,20,11,18,5
54,18,13,19,4
63,19,14,18,3
58,20,16,16,2
63,15,14,18,7
56,18,16,18,2
38,25,9,20,0
55,20,11,19,4
54,20,17,15,2
62,17,17,15,5
62,14,17,16,7
57,17,11,21,5
56,18,15,18,3
72,14,24,14,2
54,19,11,21,3
60,16,18,13,7
54,22,17,15,0
59,17,12,19,6
58,15,14,18,7
50,20,12,18,4
50,23,15,15,1
50,16,10,22,6
61,20,17,17,0
51,22,11,20,1
50,22,13,18,1
64,15,17,16,6
49,23,13,17,1
52,24,15,15,0
52,22,14,17,1
76,15,21,13,5
61,17,13,18,6
66,17,19,13,5
60,18,17,16,3
36,30,7,17,0
49,23,11,19,1
45,27,12,15,0
46,22,10,19,3
38,26,9,19,0
66,17,19,14,4
46,18,8,21,7
52,23,12,18,1
61,18,19,13,4
55,22,14,16,2
61,18,16,15,5
42,28,13,13,0
50,25,14,15,0
53,23,13,17,1
60,17,18,16,3
55,19,17,16,2
50,18,11,20,5
57,20,17,15,2
56,19,16,16,3
59,19,17,15,3
67,19,22,12,1
55,22,15,15,2
62,15,16,18,5
52,15,10,21,8
60,20,18,14,2
66,16,21,13,4
45,26,11,17,0
58,15,12,19,8
55,17,13,20,4
43,27,11,16,0
61,16,16,19,3
51,22,14,15,3
63,15,17,17,5
46,26,10,18,0
49,21,16,14,3
51,23,15,16,0
49,23,12,19,0
37,27,7,20,0
61,17,19,16,2
43,24,13,17,0
58,21,18,12,3
62,21,19,12,2
55,18,15,15,6
61,19,19,12,4
52,21,14,16,3
39,26,10,18,0
47,24,12,17,1
70,19,25,8,2
59,17,15,15,7
48,21,11,18,4
52,18,12,19,5
60,19,17,16,2
48,25,12,17,0
64,17,16,15,6
60,20,16,15,3
55,17,12,19,6
41,21,6,23,4
64,15,16,17,6
40,23,7,23,1
57,20,17,16,1
57,19,15,18,2
48,23,15,14,2
48,21,12,18,3
64,17,23,12,2
55,19,16,15,4
57,19,14,18,3
43,27,13,14,0
46,22,11,18,3
51,22,13,18,1
39,23,8,22,1
52,27,17,10,0
60,19,14,18,3
45,23,11,19,1
57,16,15,17,6
56,19,13,19,3
57,18,18,16,2
65,19,16,15,4
48,25,15,14,0
51,20,12,19,3
65,15,21,15,3
60,18,14,18,4
56,19,16,14,5
42,20,8,21,5
56,22,16,13,3
43,26,12,16,0
52,20,14,17,3
58,23,16,13,2
59,19,15,17,3
66,18,22,11,3
49,18,10,20,6
45,27,14,13,0
62,18,20,15,1
61,19,16,16,3
55,15,13,21,5
59,19,20,13,2
65,15,16,17,6
38,22,4,25,3
54,21,15,15,3
48,20,12,20,2
58,21,18,13,2
47,23,12,17,2
66,13,19,15,7
53,22,14,16,2
60,20,18,13,3
67,17,18,16,3
50,22,12,19,1
62,17,18,17,2
42,25,10,19,0
42,25,12,17,0
62,11,15,17,11
46,21,10,21,2
57,20,18,13,3
55,23,16,13,2
52,24,17,13,0
46,24,13,17,0
67,20,18,11,5
47,23,13,17,1
45,20,8,23,3
61,18,16,15,5
55,15,13,20,6
62,17,20,13,4
48,24,14,16,0
61,20,19,14,1
53,23,16,14,1
52,18,13,19,4
49,22,13,18,1
56,24,18,12,0
53,21,17,13,3
51,17,9,22,6
55,19,13,18,4
44,23,11,19,1
54,19,15,17,3
56,19,16,15,4
41,23,6,24,1
60,14,16,16,8
47,20,10,19,5
58,20,17,15,2
47,21,9,20,4
68,15,21,13,5
62,20,17,16,1
49,23,14,15,2
32,30,7,17,0
50,23,12,17,2
56,22,14,16,2
53,20,16,15,3
50,23,11,19,1
49,23,13,17,1
53,21,11,19,3
62,20,19,13,2
61,19,17,15,3
59,19,17,16,2
40,26,10,18,0
35,27,7,20,0
68,14,20,14,6
58,15,13,19,7
59,22,16,13,3
57,21,19,12,2
65,18,18,14,4
52,25,17,12,0
55,19,14,17,4
68,15,21,15,3
50,22,14,15,3
49,18,10,23,3
64,19,19,15,1
54,23,14,15,2
42,27,12,15,0
55,17,13,18,6
49,20,13,18,3
71,16,21,14,3
47,27,14,13,0
51,22,12,18,2
58,20,19,13,2
74,11,18,17,8
58,18,13,19,4
50,20,12,19,3
56,18,13,21,2
57,17,15,17,5
61,21,17,14,2
44,26,10,18,0
51,23,14,16,1
44,23,10,21,0
70,16,20,13,5
62,17,17,16,4
58,21,16,16,1
67,18,21,13,2
55,20,14,16,4
49,21,12,18,3
65,16,19,16,3
60,16,17,17,4
52,21,14,16,3
67,15,23,12,4
60,20,19,14,1
47,24,12,17,1
57,14,15,18,7
51,23,15,16,0
58,24,19,10,1
39,29,10,15,0
63,17,19,16,2
45,24,8,21,1
54,17,13,19,5
55,15,13,20,6
57,13,13,19,9
41,27,11,16,0
37,26,7,21,0
44,23,10,20,1
60,15,16,16,7
45,22,13,18,1
56,25,17,12,0
57,20,15,16,3
56,23,17,13,1
59,21,18,13,2
70,16,19,15,4
54,18,13,19,4
53,18,12,21,3
52,21,15,16,2
46,24,13,17,0
59,18,17,15,4
49,20,10,21,3
56,18,16,16,4
53,19,14,19,2
56,20,13,18,3
52,25,17,12,0
63,18,18,14,4
59,15,17,17,5
57,20,17,15,2
53,24,15,14,1
48,24,11,18,1
59,14,16,17,7
60,18,15,16,5
45,25,12,17,0
57,17,16,15,6
39,25,8,21,0
51,25,15,14,0
56,21,17,14,2
62,18,20,12,4
67,15,21,15,3
59,17,16,18,3
37,32,12,10,0
56,20,17,16,1
66,19,22,11,2
71,12,21,14,7
41,24,8,21,1
54,22,15,14,3
52,21,17,13,3
55,18,14,17,5
64,14,18,15,7
61,19,18,14,3
36,27,9,18,0
35,27,8,19,0
48,18,8,23,5
56,18,14,17,5
62,18,18,15,3
52,20,13,17,4
55,19,13,19,3
46,22,12,18,2
77,13,19,14,8
64,12,16,19,7
55,24,18,11,1
41,27,11,16,0
43,24,11,18,1
52,19,12,20,3
46,27,15,12,0
50,24,14,16,0
43,24,11,18,1
60,19,16,13,6
49,18,12,21,3
62,18,17,15,4
53,23,15,15,1
56,21,18,14,1
56,18,16,16,4
45,22,10,20,2
57,20,16,13,5
56,22,18,12,2
70,16,19,17,2
38,26,7,21,0
56,18,14,20,2
41,26,12,16,0
59,18,15,15,6
57,21,16,13,4
59,21,17,12,4
64,16,20,12,6
49,24,13,16,1
52,24,14,16,0
53,23,16,14,1
50,21,13,19,1
62,21,16,15,2
67,16,17,17,4
66,13,17,17,7
39,27,9,18,0
53,20,14,17,3
46,23,12,18,1
58,16,15,17,6
47,24,11,19,0
66,14,15,19,6
31,28,3,23,0
61,17,18,15,4
52,17,13,19,5
51,21,16,15,2
62,15,15,18,6
46,26,13,15,0
43,21,9,22,2
56,17,13,18,6
52,23,14,16,1
53,22,16,13,3
48,20,11,20,3
60,15,15,18,6
54,21,14,15,4
63,18,17,16,3
53,22,15,17,0
51,23,15,15,1
58,18,17,18,1
49,20,13,18,3
60,13,14,19,8
70,13,20,15,6
60,14,14,18,8
47,20,12,19,3
52,21,15,17,1
62,16,19,14,5
61,19,17,16,2
49,18,9,21,6
48,23,12,18,1
53,21,15,17,1
46,25,11,18,0
65,13,20,14,7
59,17,16,17,4
48,24,11,19,0
58,23,18,13,0
34,31,8,15,0
62,14,17,18,5
74,14,23,16,1
65,16,19,14,5
65,19,20,12,3
53,23,15,16,0
54,15,12,20,7
65,14,14,20,6
76,9,23,12,10
65,19,18,14,3
42,24,10,20,0
49,23,13,18,0
60,13,16,21,4
51,23,14,17,0
53,22,15,15,2
50,19,11,19,5
45,26,13,15,0
27,37,9,8,0
44,25,10,19,0
53,17,12,19,6
59,18,18,14,4
41,19,4,27,4
57,15,13,16,10
78,11,26,13,4
74,15,20,14,5
60,17,16,17,4
51,22,14,16,2
44,21,7,23,3
56,19,14,18,3
60,13,14,21,6
49,24,14,15,1
56,22,15,16,1
38,24,6,23,1
50,22,12,17,3
61,16,16,18,4
62,17,15,16,6
45,24,12,17,1
67,19,20,12,3
58,19,13,18,4
52,21,13,18,2
65,18,16,20,0
65,15,22,13,4
56,18,15,17,4
43,24,10,20,0
56,20,14,17,3
40,26,10,18,0
60,20,17,17,0
64,14,17,17,6
51,18,13,17,6
66,14,20,17,3
60,21,19,14,0
53,18,12,21,3
58,19,15,17,3
53,19,12,18,5
42,28,12,14,0
78,15,26,11,2
52,21,13,17,3
39,23,8,22,1
52,21,15,17,1
53,22,11,18,3
72,12,22,15,5
49,26,12,16,0
66,16,21,13,4
34,27,6,21,0
59,14,15,17,8
51,23,16,14,1
63,16,19,14,5
54,19,13,18,4
38,30,11,13,0
45,21,7,23,3
57,16,15,18,5
66,16,18,17,3
63,19,17,17,1
44,23,10,20,1
69,14,21,12,7
59,18,18,12,6
71,14,20,16,4
47,19,10,22,3
47,26,14,14,0
54,18,17,14,5
55,18,16,14,6
56,23,19,12,0
67,16,19,16,3
58,19,14,18,3
46,26,13,15,0
40,24,7,22,1
48,21,12,17,4
63,17,16,19,2
66,19,19,13,3
52,24,16,14,0
51,18,12,19,5
34,31,7,16,0
54,14,12,23,5
57,21,17,16,0
50,24,13,17,0
68,20,20,13,1
44,22,10,20,2
64,20,19,14,1
59,19,18,11,6
67,20,21,12,1
76,10,19,15,10
57,17,15,16,6
48,21,14,17,2
56,19,15,16,4
67,19,21,10,4
71,16,21,9,8
48,17,9,23,5
55,18,15,17,4
55,16,15,19,4
50,25,15,14,0
56,20,15,16,3
46,24,12,17,1
42,22,9,22,1
38,24,6,23,1
66,17,19,14,4
48,22,14,17,1
56,18,14,18,4
56,20,17,15,2
50,22,13,17,2
54,17,16,18,3
73,14,22,14,4
56,19,17,14,4
63,16,20,14,4
41,27,9,18,0
49,22,11,19,2
54,16,13,19,6
43,24,10,19,1
48,23,11,19,1
44,19,7,23,5
61,17,19,13,5
55,19,15,17,3
55,19,12,18,5
56,19,13,17,5
76,10,20,13,11
70,13,20,14,7
49,23,15,15,1
62,18,20,10,6
71,16,20,15,3
58,12,14,21,7
36,25,7,22,0
53,25,16,13,0
41,27,10,17,0
63,17,17,13,7
59,17,15,19,3
59,15,18,15,6
66,15,19,16,4
49,24,12,17,1
49,19,13,19,3
50,19,13,19,3
57,16,16,16,6
58,19,20,13,2
73,11,21,15,7
62,15,16,18,5
38,33,10,11,0
50,20,12,18,4
59,17,17,17,3
59,15,15,20,4
49,17,10,20,7
70,13,18,17,6
36,26,7,21,0
70,16,22,14,2
60,17,16,16,5
62,20,18,15,1
61,16,17,15,6
30,31,6,17,0
38,26,8,20,0
50,20,14,18,2
59,17,14,19,4
64,16,19,14,5
53,21,15,15,3
59,15,17,16,6
61,17,13,20,4
69,14,21,13,6
42,25,10,19,0
44,23,11,19,1
56,19,13,18,4
63,13,16,16,9
67,16,20,11,7
78,13,25,12,4
61,16,16,17,5
46,23,10,20,1
42,23,10,20,1
57,23,16,15,0
61,19,19,13,3
61,20,20,13,1
51,20,13,18,3
52,20,13,16,5
48,18,9,21,6
58,20,17,15,2
60,19,15,15,5
37,27,10,17,0
71,16,22,13,3
31,30,6,18,0
58,20,14,19,1
76,9,17,18,10
61,17,18,16,3
68,10,15,19,10
54,17,15,18,4
48,22,15,14,3
53,23,15,16,0
73,14,24,14,2
63,16,17,16,5
43,24,11,18,1
50,20,13,20,1
58,20,15,17,2
64,17,20,12,5
62,16,16,18,4
54,17,11,21,5
39,25,8,21,0
27,35,7,12,0
58,16,16,14,8
45,24,13,16,1
67,17,20,13,4
50,21,11,19,3
53,21,13,16,4
67,15,15,19,5
77,11,22,13,8
65,11,20,15,8
64,20,20,12,2
40,25,8,21,0
66,19,21,11,3
53,20,11,19,4
40,27,10,17,0
50,19,10,20,5
44,25,10,19,0
63,22,21,10,1
50,23,15,15,1
58,17,13,19,5
38,27,10,17,0
78,14,24,14,2
78,11,23,11,9
45,22,12,18,2
77,13,20,13,8
63,16,15,18,5
52,20,13,18,3
30,30,6,18,0
55,24,13,17,0
31,31,6,17,0
67,18,20,13,3
63,22,17,14,1
57,18,13,19,4
72,17,21,12,4
59,21,17,13,3
40,25,8,21,0
59,21,15,17,1
52,20,13,20,1
62,19,15,16,4
92,7,27,14,6
60,17,17,14,6
38,25,7,22,0
45,24,13,16,1
61,17,17,17,3
58,17,15,20,2
36,29,9,16,0
64,14,18,19,3
33,30,7,17,0
66,13,17,20,4
61,20,16,17,1
55,20,15,17,2
46,25,16,13,0
48,17,10,19,8
30,30,5,19,0
61,17,15,17,5
63,18,22,13,1
69,16,21,15,2
62,20,15,17,2
64,14,16,16,8
50,22,8,21,3
77,11,25,11,7
43,22,7,22,3
41,25,9,20,0
65,18,20,12,4
61,18,17,15,4
66,18,19,14,3
79,18,22,12,2
54,24,17,12,1
43,26,11,17,0
34,31,9,14,0
58,24,17,13,0
65,15,20,12,7
59,21,16,14,3
58,17,15,18,4
56,17,14,20,3
42,25,10,19,0
64,15,17,18,4
67,13,18,18,5
37,28,8,18,0
69,17,18,16,3
24,33,3,18,0
68,14,17,18,5
70,17,20,12,5
66,14,16,18,6
64,17,18,17,2
63,21,17,14,2
46,21,11,19,3
54,20,15,14,5
81,13,27,10,4
89,8,26,10,10
37,28,7,19,0
47,23,10,20,1
64,17,17,15,5
64,18,18,15,3
72,14,22,12,6
54,18,15,18,3
31,33,6,15,0
27,31,4,19,0
76,14,24,11,5
50,24,14,15,1
74,13,22,11,8
49,25,13,16,0
63,16,15,17,6
64,15,18,18,3
72,15,19,12,8
67,17,19,16,2
70,15,20,13,6
36,27,7,20,0
53,23,14,16,1
63,13,18,17,6
32,31,8,15,0
56,19,12,18,5
25,38,8,8,0
69,15,21,14,4
56,20,17,14,3
56,15,14,18,7
52,21,13,18,2
74,11,18,18,7
78,11,26,13,4
44,26,11,17,0
82,10,25,14,5
64,17,19,16,2
49,22,14,15,3
24,34,4,16,0
56,17,15,15,7
27,33,6,15,0
69,14,21,14,5
59,17,15,16,6
62,17,16,16,5
64,18,19,14,3
51,20,15,17,2
43,22,10,20,2
56,19,15,16,4
61,18,15,16,5
67,18,20,13,3
89,5,26,15,8
74,15,26,9,4
32,28,5,21,0
53,22,17,14,1
57,24,14,15,1
67,13,16,17,8
39,25,7,22,0
69,12,18,16,8
34,30,9,15,0
66,17,19,13,5
76,12,23,13,6
63,14,17,16,7
44,22,11,20,1
37,27,10,17,0
29,34,7,13,0
61,16,18,15,5
60,19,17,14,4
69,14,18,16,6
45,23,9,21,1
74,11,22,14,7
63,14,17,15,8
82,12,25,13,4
40,25,9,20,0
45,23,10,20,1
64,16,13,19,6
55,17,14,16,7
72,16,21,12,5
78,11,23,13,7
75,14,21,15,4
50,19,12,19,4
43,21,9,21,3
43,24,11,19,0
73,13,18,17,6
74,13,22,13,6
49,22,15,15,2
53,20,13,19,2
42,25,9,20,0
60,16,20,14,4
72,14,20,14,6
29,30,5,19,0
75,13,22,13,6
26,33,4,17,0
64,17,18,15,4
84,9,25,14,6
76,16,23,12,3
76,13,23,12,6
54,20,15,14,5
46,18,6,25,5
66,16,22,9,7
88,12,24,14,4
85,9,29,10,6
46,20,10,21,3
49,20,12,18,4
75,11,25,13,5
61,18,17,14,5
68,15,20,12,7
49,18,11,20,5
29,29,4,21,0
24,34,3,17,0
72,19,20,14,1
42,23,9,20,2
74,20,24,8,2
43,23,9,20,2
57,17,15,18,4
71,17,21,14,2
87,12,28,9,5
80,9,19,18,8
59,21,16,14,3
29,32,7,15,0
59,16,14,20,4
44,22,11,18,3
35,27,5,22,0
47,23,15,15,1
34,32,5,17,0
64,16,16,19,3
