MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
8273,15,410,410,1,421,421,421,1,45,D2D_RA
8274,14,626,635,2,633,642,642,2,42,D2D_RA
8275,3,207,211,2,220,220,220,1,7,D2D_RA
8276,9,426,440,3,434,448,448,2,25,D2D_RA
8277,15,406,410,2,422,422,422,1,43,D2D_RA
8278,4,380,384,2,393,393,393,1,10,D2D_RA
8279,7,139,139,1,145,145,145,1,20,D2D_RA
8280,1,384,384,1,393,393,393,1,1,D2D_RA
8281,16,150,154,2,160,160,160,1,48,D2D_RA
8282,8,408,408,1,417,417,417,1,23,D2D_RA
8283,8,806,810,2,817,817,817,1,22,D2D_RA
8284,7,436,440,2,449,449,449,1,20,D2D_RA
8285,4,353,353,1,361,361,361,1,10,D2D_RA
8286,10,463,467,2,479,479,479,1,30,D2D_RA
8287,10,735,739,2,745,745,745,1,30,D2D_RA
8288,11,298,323,4,306,332,332,3,32,D2D_RA
8289,16,362,362,1,370,370,370,1,47,D2D_RA
8290,11,761,761,1,768,768,768,1,32,D2D_RA
8291,4,261,274,3,272,285,285,2,10,D2D_RA
8292,2,350,354,2,363,363,363,1,6,D2D_RA
8293,13,357,361,2,369,369,369,1,39,D2D_RA
8294,4,557,561,2,570,570,570,1,10,D2D_RA
8295,2,392,402,2,400,411,411,2,5,D2D_RA
8296,5,421,425,2,434,434,434,1,15,D2D_RA
8297,10,834,834,1,840,840,840,1,28,D2D_RA
8298,14,649,658,2,656,664,664,2,41,D2D_RA
8299,3,665,665,1,672,672,672,1,9,D2D_RA
8300,15,398,402,2,411,411,411,1,44,D2D_RA
8301,7,124,128,2,136,136,136,1,20,D2D_RA
8302,7,460,474,3,472,483,483,2,21,D2D_RA
8303,12,529,529,1,539,539,539,1,34,D2D_RA
8304,3,652,666,3,664,673,673,2,8,D2D_RA
8305,11,537,537,1,547,547,547,1,31,D2D_RA
8306,3,428,432,2,441,441,441,1,9,D2D_RA
8307,4,231,235,2,243,243,243,1,12,D2D_RA
8308,3,608,608,1,616,616,616,1,8,D2D_RA
8309,15,554,554,1,563,563,563,1,44,D2D_RA
8310,9,438,442,2,449,449,449,1,26,D2D_RA
8311,6,360,386,4,368,395,395,3,16,D2D_RA
8312,10,547,547,1,555,555,555,1,29,D2D_RA
8313,1,609,624,3,618,633,633,2,2,D2D_RA
8314,2,156,160,2,168,168,168,1,5,D2D_RA
8315,2,667,667,1,674,674,674,1,4,D2D_RA
8316,3,252,290,6,264,298,298,4,7,D2D_RA
8317,3,710,714,2,721,721,721,1,7,D2D_RA
8318,13,149,153,2,161,161,161,1,37,D2D_RA
8319,12,456,456,1,465,465,465,1,35,D2D_RA
8320,16,216,227,2,225,234,234,2,46,D2D_RA
8321,9,233,233,1,241,241,241,1,25,D2D_RA
8322,14,519,537,4,531,545,545,2,42,D2D_RA
8323,11,296,296,1,304,304,304,1,32,D2D_RA
