initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
51,22,12,19,1,0.222222,0.363815,136
52,21,14,19,0,0.259259,0.363815,152
52,18,13,18,5,0.240741,0.363815,157
44,21,10,19,4,0.185185,0.363815,135
55,23,16,14,1,0.296296,0.363815,150
49,20,10,22,2,0.185185,0.363815,154
64,16,17,15,6,0.314815,0.363815,171
61,17,14,20,3,0.259259,0.363815,158
59,19,17,14,4,0.314815,0.35806,159
59,16,15,18,5,0.277778,0.35806,163
67,18,19,13,4,0.351852,0.35806,150
47,25,12,17,0,0.222222,0.35806,150
42,29,14,11,0,0.259259,0.35806,134
50,21,13,16,4,0.240741,0.35806,172
55,17,13,20,4,0.240741,0.35806,148
46,24,11,19,0,0.203704,0.35806,147
59,21,16,17,0,0.296296,0.355008,162
63,17,20,13,4,0.37037,0.355008,155
68,17,18,14,5,0.333333,0.355008,172
57,17,14,18,5,0.259259,0.355008,155
60,19,17,16,2,0.314815,0.355008,161
60,17,13,20,4,0.240741,0.355008,165
53,18,15,16,5,0.277778,0.355008,147
62,15,16,15,8,0.296296,0.355008,191
48,20,11,20,3,0.203704,0.332101,165
63,18,16,14,6,0.296296,0.332101,169
65,21,16,16,1,0.296296,0.332101,185
54,20,14,18,2,0.259259,0.332101,157
60,17,16,17,4,0.296296,0.332101,177
57,17,14,18,5,0.259259,0.332101,168
64,15,16,18,5,0.296296,0.332101,191
62,15,18,14,7,0.333333,0.332101,170
57,20,11,19,4,0.203704,0.31369,175
49,24,14,15,1,0.259259,0.31369,177
48,23,10,21,0,0.185185,0.31369,158
51,24,14,15,1,0.259259,0.31369,170
52,20,13,17,4,0.240741,0.31369,171
45,22,8,23,1,0.148148,0.31369,177
61,20,16,14,4,0.296296,0.31369,186
49,21,11,19,3,0.203704,0.31369,160
54,29,16,9,0,0.296296,0.315222,177
54,17,14,20,3,0.259259,0.315222,175
49,22,14,15,3,0.259259,0.315222,168
73,15,20,14,5,0.37037,0.315222,221
52,22,12,18,2,0.222222,0.315222,163
48,22,13,17,2,0.240741,0.315222,181
52,20,14,16,4,0.259259,0.315222,169
51,17,8,22,7,0.148148,0.315222,174
54,18,11,18,7,0.203704,0.304866,184
67,13,18,18,5,0.333333,0.304866,219
51,26,12,16,0,0.222222,0.304866,180
55,19,14,18,3,0.259259,0.304866,179
51,20,13,20,1,0.240741,0.304866,177
79,13,21,12,8,0.388889,0.304866,216
65,15,15,17,7,0.277778,0.304866,211
56,20,17,14,3,0.314815,0.304866,190
53,20,15,15,4,0.277778,0.279619,202
53,23,15,16,0,0.277778,0.279619,198
69,16,18,13,7,0.333333,0.279619,213
66,15,18,16,5,0.333333,0.279619,232
67,18,19,17,0,0.351852,0.279619,228
58,17,17,14,6,0.314815,0.279619,207
49,22,13,16,3,0.240741,0.279619,168
54,20,14,17,3,0.259259,0.279619,216
55,18,15,17,4,0.277778,0.261934,217
55,18,13,18,5,0.240741,0.261934,204
51,18,12,20,4,0.222222,0.261934,180
53,19,11,20,4,0.203704,0.261934,225
63,18,19,14,3,0.351852,0.261934,211
66,16,21,12,5,0.388889,0.261934,218
59,20,15,16,3,0.277778,0.261934,239
56,18,15,17,4,0.277778,0.261934,219
56,20,16,14,4,0.296296,0.253713,205
53,18,12,19,5,0.222222,0.253713,202
55,19,17,15,3,0.314815,0.253713,208
48,21,13,18,2,0.240741,0.253713,221
52,17,13,19,5,0.240741,0.253713,237
48,23,14,15,2,0.259259,0.253713,196
55,19,12,19,4,0.222222,0.253713,217
56,20,13,19,2,0.240741,0.253713,211
63,16,20,12,6,0.37037,0.255354,228
45,26,13,15,0,0.240741,0.255354,184
53,20,15,15,4,0.277778,0.255354,212
44,24,11,18,1,0.203704,0.255354,185
44,24,9,21,0,0.166667,0.255354,200
61,19,18,15,2,0.333333,0.255354,235
64,17,18,16,3,0.333333,0.255354,229
64,16,18,17,3,0.333333,0.255354,237
60,17,17,15,5,0.314815,0.255047,240
71,13,21,14,6,0.388889,0.255047,245
61,16,19,15,4,0.351852,0.255047,230
56,14,13,18,9,0.240741,0.255047,202
58,24,17,12,1,0.314815,0.255047,227
70,16,20,14,4,0.37037,0.255047,260
63,15,18,15,6,0.333333,0.255047,243
62,16,17,16,5,0.314815,0.255047,241
55,22,17,13,2,0.314815,0.229923,220
67,11,21,16,6,0.388889,0.229923,246
46,21,11,18,4,0.203704,0.229923,240
49,27,17,10,0,0.314815,0.229923,208
49,23,13,17,1,0.240741,0.229923,244
50,17,11,20,6,0.203704,0.229923,229
56,21,18,14,1,0.333333,0.229923,253
52,24,17,13,0,0.314815,0.229923,245
52,20,10,20,4,0.185185,0.230069,238
55,16,14,19,5,0.259259,0.230069,239
66,16,18,13,7,0.333333,0.230069,253
64,14,18,13,9,0.333333,0.230069,239
49,20,10,20,4,0.185185,0.230069,218
69,13,20,14,7,0.37037,0.230069,275
51,25,16,13,0,0.296296,0.230069,245
54,21,16,15,2,0.296296,0.230069,225
40,30,13,11,0,0.240741,0.224586,251
59,17,18,13,6,0.333333,0.224586,264
53,20,12,18,4,0.222222,0.224586,259
58,15,14,18,7,0.259259,0.224586,256
54,18,14,17,5,0.259259,0.224586,242
45,23,10,20,1,0.185185,0.224586,252
54,22,14,17,1,0.259259,0.224586,228
68,11,18,17,8,0.333333,0.224586,288
55,19,13,19,3,0.240741,0.212611,246
61,17,16,18,3,0.296296,0.212611,252
53,21,14,19,0,0.259259,0.212611,254
57,19,14,18,3,0.259259,0.212611,256
54,20,14,16,4,0.259259,0.212611,278
47,25,13,16,0,0.240741,0.212611,238
51,21,14,17,2,0.259259,0.212611,292
59,14,16,18,6,0.296296,0.212611,262
51,23,14,15,2,0.259259,0.208688,261
60,16,15,18,5,0.277778,0.208688,266
52,22,15,15,2,0.277778,0.208688,249
46,25,14,15,0,0.259259,0.208688,243
58,19,18,14,3,0.333333,0.208688,266
55,17,15,17,5,0.277778,0.208688,255
56,15,15,19,5,0.277778,0.208688,271
