1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
17,24,24,24,24,10,22,22,19,24,24,24,21,24,24,24,24,23,24,24,11,22,24,14,19,18,21,15,15,18,21,16,24,24,24,24,24,19,24,24,23,24,24,13,16,14,24,9,20,16,1030
11,24,24,24,24,15,16,22,15,24,24,22,16,22,24,24,24,18,24,24,9,20,24,8,21,16,12,21,13,13,15,11,24,24,24,24,24,18,24,24,24,23,24,17,24,13,23,14,16,14,982
15,24,24,23,24,24,16,21,18,24,24,23,18,19,24,24,24,24,24,24,23,21,24,19,22,16,12,18,18,11,14,12,24,24,24,24,24,22,24,24,24,19,24,18,20,12,20,14,24,9,1025
15,24,24,14,24,23,24,17,24,24,24,12,24,12,24,24,24,17,24,24,21,20,24,24,13,22,16,20,13,9,10,6,24,24,24,24,24,19,24,24,24,8,24,17,17,14,15,14,22,10,972
22,22,24,18,24,19,21,17,18,24,24,16,20,16,24,24,24,19,24,24,14,14,24,17,15,16,12,16,18,18,13,14,24,24,24,24,24,12,24,24,24,17,24,17,15,17,17,17,13,15,971
21,21,24,20,24,11,16,18,22,24,24,23,15,21,24,24,24,8,24,24,15,17,24,16,16,20,14,17,6,15,11,8,24,22,24,24,16,10,24,24,24,13,24,21,20,12,9,23,15,12,932
18,22,24,18,24,18,19,13,19,24,24,19,16,15,24,24,24,17,24,24,18,12,24,14,17,24,5,18,7,15,14,7,24,24,23,24,24,13,24,22,24,9,24,23,16,14,15,23,19,9,939
17,24,24,15,24,18,17,16,17,24,24,21,14,16,24,24,17,13,24,22,15,12,23,15,24,9,13,8,20,11,13,11,19,24,24,24,24,13,24,24,24,9,23,10,15,5,19,14,11,12,887
18,24,24,15,24,21,21,19,12,24,24,11,16,20,24,24,24,16,24,19,13,12,19,11,22,9,12,15,14,11,16,16,24,16,23,20,24,9,24,24,23,12,24,10,15,14,17,10,8,19,890
13,24,23,23,24,9,17,22,21,24,24,17,11,21,24,24,24,13,24,24,18,12,20,15,15,14,8,14,9,7,9,9,23,24,24,20,24,8,24,24,24,11,24,6,10,12,9,8,8,9,848
15,19,24,8,24,16,15,13,10,22,24,13,13,10,24,24,24,14,24,24,14,16,24,18,11,15,10,9,8,11,9,7,24,24,17,24,24,9,24,24,24,10,22,9,16,15,12,7,13,7,817
16,22,16,17,24,10,13,7,15,24,22,13,18,8,24,23,24,11,24,24,13,13,24,12,10,11,21,10,12,7,13,10,24,24,24,24,24,17,24,24,24,12,24,12,8,8,9,10,13,7,823
10,24,24,15,24,17,19,15,12,24,22,9,14,13,21,24,24,15,24,24,11,19,22,8,12,12,8,9,12,12,11,17,24,23,23,24,24,13,24,21,14,12,21,7,6,12,6,17,13,18,829
14,24,24,16,24,13,9,7,13,23,17,16,9,14,24,24,24,11,20,24,7,20,22,12,8,6,9,8,8,13,6,9,19,24,24,24,22,7,24,21,20,15,20,11,12,12,17,12,11,13,786
11,24,24,15,21,18,18,19,11,24,24,14,8,10,24,24,24,10,17,24,18,19,23,13,15,7,7,14,6,5,6,6,24,21,24,17,20,9,24,15,24,8,24,15,13,11,18,13,11,6,800
9,22,24,14,24,8,11,15,11,20,24,15,11,10,19,24,24,10,24,21,7,8,23,14,12,12,12,14,14,10,11,10,24,24,24,21,23,8,19,23,19,14,24,7,11,8,8,14,7,16,781
13,24,22,10,24,12,9,9,7,24,24,11,14,20,24,24,24,12,24,24,11,10,24,13,20,9,12,9,14,9,11,14,20,19,16,20,24,12,24,15,24,10,24,10,9,7,8,8,5,12,778
10,24,19,15,24,7,6,16,11,22,24,12,12,9,24,17,24,10,23,21,6,11,24,10,10,5,9,7,2,10,9,10,22,17,24,19,20,14,24,23,18,8,24,9,8,11,13,12,13,13,735
10,21,24,18,24,12,15,12,9,24,18,13,10,7,24,24,24,13,24,19,13,15,20,15,9,7,8,11,7,9,10,5,22,19,22,17,24,13,23,24,24,8,22,9,7,7,16,13,9,11,764
10,23,20,8,24,8,9,19,10,24,17,12,11,12,24,23,24,11,19,21,11,12,20,10,13,12,8,8,14,9,8,9,19,24,23,24,22,11,24,22,24,15,24,14,14,10,6,14,4,6,763
10,24,24,15,24,12,9,13,10,24,22,20,16,12,23,24,20,16,24,24,6,15,23,12,8,8,6,8,7,7,9,9,24,24,18,24,24,9,21,24,24,9,18,11,9,9,10,9,11,4,766
