success,beta_nMTCD
2718,18
2740,18
2760,19
2776,21
2799,16
2819,17
2832,18
2847,17
2863,12
2878,17
2894,20
2913,22
2937,27
2958,18
2980,22
3005,23
3026,23
3049,20
3067,19
3078,20
3101,24
3118,27
3129,15
3148,10
3164,25
3184,22
3204,18
3222,12
3246,20
3264,18
3277,14
3295,15
3313,20
3335,19
3353,12
3375,19
3394,18
3419,19
3440,19
3456,24
3474,17
3494,28
3514,28
3534,25
3546,16
3569,18
3588,28
3609,21
3626,24
3641,16
3658,17
3676,22
3690,13
3714,23
3732,15
3748,15
3760,13
3778,24
3794,22
3810,16
3826,27
3846,27
3859,19
3876,17
3892,20
3910,19
3921,17
3939,22
3947,23
3966,20
3978,20
4000,16
4005,16
4024,23
4031,24
4048,33
4054,19
4077,13
4089,20
4106,12
4112,21
4134,24
4138,22
4158,17
4164,16
4183,23
4185,19
4202,16
4209,29
4222,14
4227,20
4240,20
4243,17
4256,22
4261,22
4276,22
4278,15
4290,22
4294,24
4305,20
4308,23
4318,28
4318,17
4323,28
4325,28
4333,24
4336,18
4344,18
4347,15
4352,19
4354,17
4360,25
4363,20
4366,16
4370,24
4375,22
4376,18
4378,18
4380,26
4381,19
4382,22
4383,22
4389,23
4391,14
4396,22
4399,15
4404,19
4409,18
4413,21
4415,14
4420,21
4421,18
4423,19
4425,17
4430,25
4430,23
4436,21
4437,20
4439,29
4443,18
4446,19
4449,22
4454,24
4455,17
4460,16
4463,15
4467,24
4469,17
4473,28
4475,15
4479,23
4482,20
4489,21
4490,21
4495,23
4496,16
4499,23
4500,12
4507,17
4509,19
4515,20
4518,27
4525,21
4527,20
4530,16
4532,21
4536,26
4537,15
4543,22
4546,19
4551,20
4554,23
4555,14
4558,20
4562,24
4567,25
4572,19
4576,18
4580,11
4582,16
4584,19
4585,29
4588,21
4590,21
4595,20
4598,17
4600,31
4604,16
4608,15
4613,20
4616,11
4621,17
4626,21
4627,22
4629,20
4635,17
4636,22
4640,24
4646,15
4649,25
4651,19
4655,19
4658,21
4659,21
4660,22
4662,17
4665,16
4672,28
4676,16
4678,18
4679,17
4682,16
4685,11
4691,23
4697,23
4701,20
4705,17
4708,18
4713,13
4715,21
4717,16
4722,25
4725,31
4731,14
4734,12
4735,20
4736,24
4741,16
4744,17
4747,13
4751,20
4755,19
4759,18
4763,11
4768,11
4774,20
4779,14
4784,18
4790,21
4796,21
4801,19
4808,17
4813,14
4820,18
4823,8
4830,16
4832,16
4837,14
4840,30
4846,14
4850,12
4856,20
4864,13
4869,15
4876,18
4883,12
4888,27
4892,21
4898,18
4900,17
4906,18
4910,27
4914,15
4919,13
4926,16
4936,11
4943,9
4952,19
4956,10
4964,11
4972,9
4981,20
4990,13
4997,7
5004,11
5010,16
5017,17
5024,20
5027,18
5034,11
5041,13
5049,12
5058,15
5070,15
5080,16
5088,19
5096,20
5106,16
5113,14
5122,8
5133,17
5142,19
5152,8
5163,21
5172,10
5186,19
5195,11
5210,14
5216,5
5227,14
5236,14
5249,16
5260,8
5277,15
5288,12
5307,15
5317,19
5335,19
5344,14
5363,19
5372,16
5388,13
5396,17
5413,13
5420,7
5441,15
5452,15
5472,14
5486,10
5494,6
5506,10
5516,9
5528,11
5539,14
5557,13
5570,10
5587,10
5597,9
5610,12
5621,16
5642,11
5656,9
5680,14
5686,13
5694,4
5706,6
5717,14
5728,7
5738,11
5748,7
5763,10
5769,13
5783,8
5795,18
5806,8
5816,13
5823,10
5833,5
5845,12
5852,10
5863,9
5873,13
5885,6
5892,8
5899,12
5908,7
5913,11
5927,9
5936,8
5951,11
5959,12
5963,8
5973,10
5986,6
5996,11
6006,10
6018,10
6031,10
6035,11
6044,4
6049,11
6056,7
6063,5
6069,9
6085,4
6095,17
6105,14
6112,7
6120,7
6128,8
6135,8
6147,7
6156,8
6164,7
6173,8
6181,9
6185,11
6194,4
6197,6
6204,5
6211,9
6220,8
6224,9
6232,7
6242,8
6247,9
6257,5
6267,7
6277,8
6284,8
6289,7
6291,7
6301,4
6310,8
6316,9
6322,6
6327,8
6334,5
6341,3
6347,7
6352,8
6357,5
6364,5
6371,7
6381,5
6385,10
6392,6
6398,7
6405,4
6411,9
6418,8
6423,5
6426,3
6430,5
6436,6
6439,8
6451,1
6455,8
6459,4
6460,4
6464,1
6473,4
6476,9
6483,7
6490,7
6496,3
6502,8
6510,6
6517,6
6520,7
6521,3
6531,1
6536,12
6539,5
6540,3
6550,1
6555,8
6563,5
6569,8
6575,6
6575,6
6580,2
6591,5
6596,9
6599,5
6605,3
6613,6
6618,8
6621,5
6627,3
6628,6
6632,3
6642,6
6647,8
6651,3
6653,4
6657,2
6662,6
6670,5
6674,6
6678,4
6680,4
6680,2
6681,0
6684,1
6688,3
6694,4
6699,6
6703,5
6707,4
6709,6
6713,2
6718,2
6720,5
6725,2
6726,5
6727,1
6731,1
6732,4
6736,1
6736,4
6744,0
6746,8
6748,2
6751,2
6754,3
6759,3
6762,5
6767,3
6769,5
6771,2
6776,2
6778,5
6781,2
6785,3
6788,4
6791,3
6793,3
6793,2
6795,0
6797,2
6799,2
6802,2
6803,3
6804,1
6808,1
6811,4
6812,3
6813,1
6814,1
6818,1
6819,4
6822,3
6826,3
6828,2
6828,2
6830,0
6834,2
6834,4
6835,0
6837,1
6839,2
6844,2
6846,5
6847,2
6848,1
6850,1
6852,2
6854,2
6857,2
6857,3
6858,0
6861,1
6863,3
6863,2
6864,0
6866,1
6868,2
6869,2
6870,1
6872,1
6873,2
6873,1
6874,0
6874,1
6877,0
6877,3
6878,0
6878,1
6878,0
6880,0
6880,2
6881,0
6881,1
6881,0
6881,0
6883,0
6884,2
6884,1
6885,0
6885,1
6885,0
6885,0
6887,0
6888,2
6890,1
6891,2
6892,1
6894,1
6894,2
6895,0
6896,1
6896,1
6897,0
6897,1
6897,0
6897,0
6898,0
6898,1
6899,0
6899,1
6900,0
6900,1
6900,0
6900,0
6900,0
6901,0
6902,1
6902,1
6902,0
6903,0
6903,1
6903,0
6903,0
6904,0
6905,1
6905,1
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6905,0
6906,0
6906,1
6906,0
6906,0
6906,0
6906,0
6907,0
6907,1
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6907,0
6908,0
6908,1
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
6908,0
