initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
33,26,5,23,0,0.0925926
28,35,6,13,0,0.111111
25,34,5,15,0,0.0925926
34,29,7,18,0,0.12963
28,30,4,20,0,0.0740741
34,29,6,19,0,0.111111
26,35,6,13,0,0.111111
34,26,6,22,0,0.111111
34,27,7,20,0,0.12963
28,32,6,16,0,0.111111
31,27,4,23,0,0.0740741
30,29,5,20,0,0.0925926
25,35,6,13,0,0.111111
22,36,3,15,0,0.0555556
29,32,6,16,0,0.111111
27,34,5,15,0,0.0925926
35,29,9,16,0,0.166667
39,27,8,19,0,0.148148
37,23,6,24,1,0.111111
42,23,9,21,1,0.166667
36,25,7,22,0,0.12963
44,19,6,25,4,0.111111
34,27,6,21,0,0.111111
38,23,7,23,1,0.12963
33,29,7,18,0,0.12963
39,31,12,11,0,0.222222
42,23,8,23,0,0.148148
43,25,12,17,0,0.222222
29,35,8,11,0,0.148148
51,18,12,19,5,0.222222
40,28,10,16,0,0.185185
50,19,13,20,2,0.240741
36,26,8,20,0,0.148148
50,21,13,18,2,0.240741
34,25,5,24,0,0.0925926
46,23,13,18,0,0.240741
25,35,6,13,0,0.111111
48,22,12,18,2,0.222222
31,30,6,18,0,0.111111
42,24,8,22,0,0.148148
32,30,6,18,0,0.111111
38,25,7,22,0,0.12963
33,29,6,19,0,0.111111
35,24,5,25,0,0.0925926
38,26,7,21,0,0.12963
27,33,5,16,0,0.0925926
45,22,12,18,2,0.222222
39,25,9,20,0,0.166667
52,18,12,20,4,0.222222
35,28,6,20,0,0.111111
50,27,15,12,0,0.277778
43,21,8,23,2,0.148148
59,17,14,19,4,0.259259
44,22,9,21,2,0.166667
56,19,14,17,4,0.259259
40,28,11,15,0,0.203704
61,16,16,17,5,0.296296
38,29,7,18,0,0.12963
67,14,19,14,7,0.351852
35,25,5,24,0,0.0925926
68,10,18,18,8,0.333333
24,34,4,16,0,0.0740741
74,15,24,12,3,0.444444
30,30,6,18,0,0.111111
78,10,21,16,7,0.388889
39,27,11,16,0,0.203704
86,6,26,16,6,0.481481
42,23,10,20,1,0.185185
85,12,26,13,3,0.481481
42,26,11,17,0,0.203704
86,12,18,16,8,0.333333
42,25,11,18,0,0.203704
91,9,29,11,5,0.537037
47,22,12,18,2,0.222222
99,9,30,8,7,0.555556
49,22,12,19,1,0.222222
105,7,28,12,7,0.518519
46,21,10,22,1,0.185185
112,11,34,5,4,0.62963
48,22,12,19,1,0.222222
137,7,35,7,5,0.648148
48,25,12,17,0,0.222222
140,3,40,6,5,0.740741
51,15,10,23,6,0.185185
141,1,36,12,5,0.666667
49,22,14,17,1,0.259259
146,2,44,6,2,0.814815
54,16,10,22,6,0.185185
149,3,41,4,6,0.759259
48,19,12,20,3,0.222222
163,2,45,6,1,0.833333
47,21,11,19,3,0.203704
159,2,46,2,4,0.851852
57,14,15,17,8,0.277778
159,0,42,7,5,0.777778
60,21,18,13,2,0.333333
160,0,43,5,6,0.796296
64,18,20,13,3,0.37037
162,7,40,3,4,0.740741
73,15,21,13,5,0.388889
159,4,41,5,4,0.759259
75,14,21,15,4,0.388889
167,1,48,2,3,0.888889
84,11,29,12,2,0.537037
178,0,43,4,7,0.796296
