MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
17163,49,237,241,2,253,253,253,1,49,0,Success,2
17164,8,244,248,2,257,257,257,1,8,0,Success,1
17165,18,419,419,1,426,426,426,1,18,2,Success,10
17166,3,849,849,1,856,856,856,1,3,0,Success,0
17167,17,515,515,1,523,523,523,1,17,1,Success,7
17168,9,396,400,2,411,411,411,1,9,0,Success,3
17169,37,804,808,2,822,822,822,1,37,0,Success,1
17170,44,381,385,2,396,396,396,1,44,0,Success,3
17171,1,666,666,1,672,672,672,1,1,1,Success,4
17172,25,642,642,1,649,649,649,1,25,1,Success,5
17173,48,675,675,1,686,686,686,1,48,0,Success,1
17174,34,560,560,1,575,575,575,1,34,0,Success,0
17175,7,343,347,2,354,354,354,1,7,1,Success,6
17176,17,521,521,1,531,531,531,1,17,0,Success,3
17177,39,351,355,2,365,365,365,1,39,1,Success,6
17178,19,528,528,1,536,536,536,1,19,0,Success,0
17179,16,476,480,2,488,488,488,1,16,0,Success,0
17180,38,490,490,1,500,500,500,1,38,0,Success,3
17181,27,873,873,1,887,887,887,1,27,0,Success,0
17182,35,248,248,1,261,261,261,1,35,0,Success,2
17183,12,527,531,2,536,536,536,1,12,2,Success,8
17184,7,163,163,1,169,169,169,1,7,0,Success,1
17185,39,297,297,1,308,308,308,1,39,0,Success,3
17186,22,686,690,2,698,698,698,1,22,0,Success,2
17187,29,522,522,1,534,534,534,1,29,2,Success,9
17188,32,875,875,1,887,887,887,1,32,0,Success,0
17189,39,557,561,2,574,574,574,1,39,0,Success,1
17190,8,321,321,1,329,329,329,1,8,1,Success,5
17191,26,336,336,1,350,350,350,1,26,1,Success,5
17192,29,427,427,1,435,435,435,1,29,1,Success,16
17193,28,757,761,2,773,773,773,1,28,0,Success,2
17194,18,443,443,1,449,449,449,1,18,2,Success,9
17195,46,437,441,2,454,454,454,1,46,0,Success,1
17196,11,288,288,1,296,296,296,1,11,0,Success,0
