RAO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
720,2,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,8
721,2,0,2,1,0,0,1,2,2,2,1,0,0,0,0,1,14
722,2,2,2,0,2,1,0,2,1,0,3,0,2,0,3,1,21
723,2,2,0,1,1,1,0,1,1,2,1,2,1,0,0,0,15
724,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
725,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,7
726,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4
727,0,0,1,0,1,1,1,0,0,1,1,1,0,0,2,0,9
728,3,2,2,0,1,1,0,0,1,0,0,1,1,1,0,1,14
729,1,2,0,1,3,2,0,0,0,0,0,0,1,1,1,0,12
730,1,1,1,0,1,1,2,1,1,2,2,2,1,0,1,1,18
731,1,0,2,1,1,1,2,1,0,1,1,1,0,0,2,0,14
732,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,6
733,1,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,8
734,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
735,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,8
736,1,1,0,1,0,0,0,0,1,0,1,0,1,2,2,0,10
737,1,0,1,0,1,0,1,1,1,0,1,1,3,0,1,0,12
738,0,2,0,1,1,3,3,0,0,0,1,0,1,1,1,1,15
739,2,0,1,0,1,1,1,2,0,0,0,1,0,1,1,1,12
740,0,0,0,0,1,0,2,0,1,0,2,0,0,2,1,0,9
741,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,7
742,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,7
743,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
744,0,0,3,0,1,1,2,0,1,1,2,0,1,3,1,1,17
745,2,3,1,2,0,2,1,0,0,0,0,1,0,0,0,1,13
746,1,3,0,1,1,1,2,1,2,2,6,0,1,1,1,0,23
747,0,1,1,1,0,2,0,0,1,0,1,0,1,1,0,1,10
748,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3
749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
750,3,1,1,1,0,0,2,1,0,1,0,0,0,1,0,1,12
751,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,5
752,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,6
753,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
754,3,2,6,3,0,1,3,2,1,3,1,0,1,3,2,1,32
755,1,2,0,0,0,2,0,1,1,0,1,2,0,0,0,0,10
756,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,8
757,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6
758,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,6
759,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
760,1,1,1,0,1,1,2,0,0,1,1,2,2,0,0,0,13
761,2,4,0,0,0,0,2,1,1,0,1,2,1,0,1,0,15
762,3,0,2,2,1,4,0,0,1,2,2,1,0,1,1,0,20
763,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,5
764,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,6
765,0,0,0,0,2,1,0,1,1,0,1,1,1,0,0,0,8
766,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5
767,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
768,0,1,2,0,0,0,1,0,0,1,1,2,0,1,2,1,12
769,1,0,0,0,2,1,0,1,1,0,1,1,2,1,0,0,11
770,2,1,7,0,1,1,1,1,0,1,0,1,1,2,0,2,21
771,3,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,11
772,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3
773,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4
774,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
775,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,6
776,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,8
777,0,3,2,0,1,0,0,2,0,0,0,1,1,0,0,0,10
778,1,1,2,0,1,1,0,1,0,1,1,0,2,1,1,2,15
779,0,1,2,0,0,2,0,1,0,1,0,0,0,2,0,1,10
780,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
783,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
784,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6
785,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,6
786,0,2,1,1,0,0,1,0,0,0,0,1,1,3,0,0,10
787,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,7
788,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,6
789,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
790,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
791,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5
792,2,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,8
793,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,1,7
794,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
795,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,6
796,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4
797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
798,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,4,1,0,0,1,0,0,0,1,2,0,0,1,1,0,12
801,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
802,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,6
803,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
804,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
805,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,5
806,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
807,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,5
808,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,5
809,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,7
810,1,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8
811,2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,7
812,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
813,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,4
814,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3
815,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
816,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5
817,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,4
818,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5
819,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
820,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
821,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
822,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
823,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
824,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6
825,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,6
826,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
827,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
828,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
829,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4
830,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
832,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
833,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,6
834,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
835,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,5
836,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,4
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
839,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
840,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,6
841,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,5
842,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
843,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
845,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
846,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
847,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
848,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4
849,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
850,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
851,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,5
852,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
855,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
856,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4
857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
858,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
859,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
860,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4
865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
884,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
885,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
887,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
