MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
201,3,273,283,2,281,293,298,2,9,D2D_RA,
202,2,278,282,2,290,290,295,1,4,D2D_RA,
203,10,596,600,2,608,608,613,1,28,D2D_RA,
204,14,254,258,2,265,265,270,1,40,D2D_RA,
205,7,210,210,1,216,216,221,1,20,D2D_RA,
206,10,536,536,1,544,544,549,1,28,D2D_RA,
207,15,701,705,2,712,712,717,1,44,D2D_RA,
208,15,602,602,1,610,610,615,1,43,D2D_RA,
209,9,882,882,1,888,888,893,1,25,D2D_RA,
210,5,611,611,1,617,617,622,1,15,D2D_RA,
211,2,765,769,2,777,777,782,1,4,D2D_RA,
212,1,232,242,2,240,250,255,2,1,D2D_RA,
213,4,463,467,2,475,475,480,1,12,D2D_RA,
214,15,554,554,1,561,561,566,1,45,D2D_RA,
215,9,266,266,1,273,273,278,1,26,D2D_RA,
216,11,346,346,1,353,353,358,1,31,D2D_RA,
217,13,406,410,2,417,417,422,1,39,D2D_RA,
218,1,599,603,2,610,610,615,1,2,D2D_RA,
219,7,437,451,3,449,458,463,2,21,D2D_RA,
220,8,626,626,1,633,633,638,1,22,D2D_RA,
221,10,348,352,2,360,360,365,1,28,D2D_RA,
222,3,444,448,2,456,456,461,1,7,D2D_RA,
223,7,472,482,2,480,491,496,2,19,D2D_RA,
224,10,477,490,3,488,497,502,2,29,D2D_RA,
225,3,640,640,1,648,648,653,1,7,D2D_RA,
226,3,287,291,2,301,301,306,1,7,D2D_RA,
227,1,364,378,3,376,387,392,2,3,D2D_RA,
228,2,116,120,2,128,128,133,1,4,D2D_RA,
229,6,205,209,2,216,216,221,1,17,D2D_RA,
230,12,279,283,2,291,291,296,1,35,D2D_RA,
231,10,418,418,1,427,427,432,1,28,D2D_RA,
232,7,434,458,4,442,465,470,3,21,D2D_RA,
233,12,490,504,3,498,512,517,2,34,D2D_RA,
234,1,566,570,2,579,579,584,1,3,D2D_RA,
235,13,208,208,1,216,216,221,1,37,D2D_RA,
236,1,569,569,1,578,578,583,1,1,D2D_RA,
237,7,322,336,3,330,344,349,2,20,D2D_RA,
238,8,460,464,2,472,472,477,1,23,D2D_RA,
239,7,416,416,1,424,424,429,1,19,D2D_RA,
240,14,406,410,2,417,417,422,1,41,D2D_RA,
241,8,423,450,5,434,458,463,3,22,D2D_RA,
242,4,658,658,1,665,665,670,1,11,D2D_RA,
243,13,231,235,2,242,242,247,1,38,D2D_RA,
244,4,569,584,3,578,592,597,2,10,D2D_RA,
245,14,290,290,1,298,298,303,1,41,D2D_RA,
246,1,304,314,2,312,323,328,2,3,D2D_RA,
247,16,474,474,1,483,483,488,1,47,D2D_RA,
248,1,383,387,2,396,396,401,1,3,D2D_RA,
249,5,492,496,2,504,504,509,1,13,D2D_RA,
250,5,712,712,1,720,720,725,1,13,D2D_RA,
251,10,638,658,4,648,665,670,3,28,D2D_RA,
252,13,353,353,1,361,361,366,1,37,D2D_RA,
253,2,289,299,2,297,307,312,2,4,D2D_RA,
254,5,624,624,1,632,632,637,1,13,D2D_RA,
255,8,369,379,2,377,386,391,2,22,D2D_RA,
256,12,200,200,1,208,208,213,1,34,D2D_RA,
257,9,570,570,1,577,577,582,1,27,D2D_RA,
258,12,304,314,2,312,321,326,2,34,D2D_RA,
259,4,568,568,1,576,576,581,1,10,D2D_RA,
260,9,495,499,2,505,505,510,1,27,D2D_RA,
261,7,534,555,4,544,562,567,3,20,D2D_RA,
262,1,30,34,2,40,40,45,1,1,D2D_RA,
263,1,139,139,1,144,144,149,1,3,D2D_RA,
264,15,171,171,1,177,177,182,1,45,D2D_RA,
265,13,332,336,2,344,344,349,1,37,D2D_RA,
266,14,349,371,4,360,378,383,3,42,D2D_RA,
267,13,443,443,1,453,453,458,1,38,D2D_RA,
268,2,512,522,2,520,531,536,2,6,D2D_RA,
269,8,351,369,4,363,377,382,2,23,D2D_RA,
270,3,449,449,1,458,458,463,1,8,D2D_RA,
271,12,430,434,2,442,442,447,1,34,D2D_RA,
272,16,639,643,2,649,649,654,1,47,D2D_RA,
273,13,412,416,2,424,424,429,1,37,D2D_RA,
274,13,727,731,2,736,736,741,1,38,D2D_RA,
275,16,277,281,2,289,289,294,1,47,D2D_RA,
276,12,440,440,1,448,448,453,1,34,D2D_RA,
277,2,261,275,3,273,285,290,2,4,D2D_RA,
278,13,522,530,2,528,537,542,2,37,D2D_RA,
279,6,524,538,3,536,545,550,2,17,D2D_RA,
280,4,243,243,1,250,250,255,1,10,D2D_RA,
281,6,378,378,1,385,385,390,1,16,D2D_RA,
282,4,262,275,3,273,283,288,2,10,D2D_RA,
283,14,309,336,5,321,344,349,3,40,D2D_RA,
284,13,407,435,5,419,442,447,3,38,D2D_RA,
285,2,551,555,2,564,564,569,1,6,D2D_RA,
286,13,139,139,1,145,145,150,1,37,D2D_RA,
287,14,413,417,2,424,424,429,1,41,D2D_RA,
288,14,589,602,3,600,608,613,2,40,D2D_RA,
289,7,328,362,5,336,369,374,4,21,D2D_RA,
290,10,530,552,4,537,560,565,3,28,D2D_RA,
291,2,587,587,1,595,595,600,1,6,D2D_RA,
292,2,97,97,1,104,104,109,1,6,D2D_RA,
293,13,263,267,2,273,273,278,1,39,D2D_RA,
294,3,569,569,1,577,577,582,1,7,D2D_RA,
295,1,676,680,2,688,688,693,1,1,D2D_RA,
296,9,145,145,1,152,152,157,1,26,D2D_RA,
297,2,453,457,2,465,465,470,1,6,D2D_RA,
298,3,579,579,1,588,588,593,1,9,D2D_RA,
299,9,468,490,4,480,499,504,3,25,D2D_RA,
300,7,218,218,1,225,225,230,1,20,D2D_RA,
301,1,379,379,1,389,389,394,1,1,D2D_RA,
302,12,584,603,3,592,609,614,3,35,D2D_RA,
303,3,325,339,3,337,346,351,2,9,D2D_RA,
304,12,461,465,2,472,472,477,1,34,D2D_RA,
305,12,636,640,2,648,648,653,1,34,D2D_RA,
306,3,404,408,2,416,416,421,1,7,D2D_RA,
307,2,315,315,1,323,323,328,1,5,D2D_RA,
308,2,318,331,3,329,341,346,2,4,D2D_RA,
309,2,258,258,1,267,267,272,1,6,D2D_RA,
310,14,598,602,2,608,608,613,1,41,D2D_RA,
311,1,366,370,2,380,380,385,1,2,D2D_RA,
312,15,541,554,3,552,562,567,2,43,D2D_RA,
313,7,343,419,11,354,427,432,8,20,D2D_RA,
314,3,497,507,2,505,516,521,2,8,D2D_RA,
315,6,403,403,1,410,410,415,1,18,D2D_RA,
316,16,512,512,1,520,520,525,1,46,D2D_RA,
317,8,302,306,2,313,313,318,1,22,D2D_RA,
318,14,419,427,2,425,433,438,2,42,D2D_RA,
319,1,376,376,1,384,384,389,1,2,D2D_RA,
320,7,437,451,3,449,459,464,2,19,D2D_RA,
321,1,502,506,2,515,515,520,1,1,D2D_RA,
322,1,313,313,1,321,321,326,1,3,D2D_RA,
323,3,594,603,2,601,612,617,2,9,D2D_RA,
324,7,292,306,3,304,313,318,2,21,D2D_RA,
325,12,432,432,1,440,440,445,1,34,D2D_RA,
326,13,452,456,2,464,464,469,1,37,D2D_RA,
327,3,303,307,2,315,315,320,1,9,D2D_RA,
328,1,648,648,1,656,656,661,1,1,D2D_RA,
329,6,264,264,1,272,272,277,1,16,D2D_RA,
330,13,382,386,2,395,395,400,1,38,D2D_RA,
331,5,286,312,5,297,320,325,3,13,D2D_RA,
332,4,616,616,1,624,624,629,1,10,D2D_RA,
333,1,199,203,2,211,211,216,1,3,D2D_RA,
334,16,721,721,1,728,728,733,1,46,D2D_RA,
335,15,484,488,2,496,496,501,1,43,D2D_RA,
336,13,496,506,2,504,514,519,2,37,D2D_RA,
337,10,203,203,1,209,209,214,1,30,D2D_RA,
338,2,368,368,1,376,376,381,1,4,D2D_RA,
339,8,723,723,1,728,728,733,1,23,D2D_RA,
340,8,370,370,1,379,379,384,1,24,D2D_RA,
341,14,410,427,3,417,434,439,3,40,D2D_RA,
342,1,664,664,1,672,672,677,1,1,D2D_RA,
343,9,175,179,2,185,185,190,1,25,D2D_RA,
344,12,594,603,2,601,609,614,2,36,D2D_RA,
345,9,417,426,2,424,434,439,2,27,D2D_RA,
346,3,668,672,2,680,680,685,1,7,D2D_RA,
347,9,502,515,3,513,521,526,2,27,D2D_RA,
348,11,765,769,2,776,776,781,1,31,D2D_RA,
349,14,495,499,2,507,507,512,1,40,D2D_RA,
350,16,214,234,4,225,241,246,3,46,D2D_RA,
351,8,267,275,2,273,283,288,2,22,D2D_RA,
352,6,459,459,1,467,467,472,1,17,D2D_RA,
353,11,429,433,2,441,441,446,1,33,D2D_RA,
354,15,254,258,2,265,265,270,1,43,D2D_RA,
355,2,497,522,4,506,532,537,3,4,D2D_RA,
356,13,708,712,2,720,720,725,1,37,D2D_RA,
357,15,278,282,2,289,289,294,1,43,D2D_RA,
358,3,643,643,1,651,651,656,1,7,D2D_RA,
359,12,556,560,2,568,568,573,1,35,D2D_RA,
360,2,422,426,2,434,434,439,1,5,D2D_RA,
361,6,428,432,2,440,440,445,1,16,D2D_RA,
362,3,168,178,2,176,185,190,2,8,D2D_RA,
363,13,688,698,2,696,705,710,2,37,D2D_RA,
364,2,179,179,1,186,186,191,1,6,D2D_RA,
365,11,438,442,2,452,452,457,1,32,D2D_RA,
366,7,230,243,3,241,251,256,2,19,D2D_RA,
367,2,565,569,2,577,577,582,1,4,D2D_RA,
368,15,482,482,1,490,490,495,1,44,D2D_RA,
369,10,222,226,2,233,233,238,1,28,D2D_RA,
370,3,257,266,2,264,274,279,2,7,D2D_RA,
371,9,322,322,1,329,329,334,1,27,D2D_RA,
372,9,529,529,1,537,537,542,1,26,D2D_RA,
373,15,601,601,1,608,608,613,1,44,D2D_RA,
374,1,524,538,3,536,546,551,2,3,D2D_RA,
375,14,503,507,2,516,516,521,1,42,D2D_RA,
376,6,460,464,2,472,472,477,1,16,D2D_RA,
377,6,390,394,2,402,402,407,1,17,D2D_RA,
378,2,116,120,2,128,128,133,1,5,D2D_RA,
379,4,463,467,2,476,476,481,1,10,D2D_RA,
380,12,605,618,3,616,624,629,2,36,D2D_RA,
381,16,319,323,2,330,330,335,1,48,D2D_RA,
382,9,321,331,2,329,337,342,2,26,D2D_RA,
383,9,368,368,1,376,376,381,1,25,D2D_RA,
384,10,547,547,1,552,552,557,1,30,D2D_RA,
385,15,174,186,3,184,192,197,2,44,D2D_RA,
386,7,202,202,1,208,208,213,1,21,D2D_RA,
387,5,504,504,1,512,512,517,1,13,D2D_RA,
388,9,275,275,1,282,282,287,1,27,D2D_RA,
389,4,311,315,2,323,323,328,1,11,D2D_RA,
390,5,543,547,2,554,554,559,1,15,D2D_RA,
391,14,445,449,2,456,456,461,1,42,D2D_RA,
392,2,338,338,1,346,346,351,1,6,D2D_RA,
393,9,346,354,2,352,360,365,2,27,D2D_RA,
394,8,162,162,1,169,169,174,1,22,D2D_RA,
395,5,489,498,2,496,506,511,2,14,D2D_RA,
396,6,449,449,1,456,456,461,1,18,D2D_RA,
397,3,350,354,2,364,364,369,1,9,D2D_RA,
398,12,116,120,2,128,128,133,1,34,D2D_RA,
399,6,429,443,3,441,452,457,2,16,D2D_RA,
400,4,445,459,3,457,466,471,2,10,D2D_RA,
401,2,364,378,3,376,387,392,2,4,D2D_RA,
402,16,581,585,2,592,592,597,1,48,D2D_RA,
403,2,705,705,1,712,712,717,1,6,D2D_RA,
404,7,470,474,2,483,483,488,1,19,D2D_RA,
405,16,407,411,2,418,418,423,1,46,D2D_RA,
406,3,419,419,1,427,427,432,1,9,D2D_RA,
407,13,456,466,2,464,472,477,2,38,D2D_RA,
408,8,524,538,3,536,546,551,2,22,D2D_RA,
409,3,287,291,2,301,301,306,1,8,D2D_RA,
410,2,469,483,3,481,494,499,2,4,D2D_RA,
411,12,401,411,2,409,417,422,2,36,D2D_RA,
412,8,292,296,2,304,304,309,1,22,D2D_RA,
413,8,171,171,1,177,177,182,1,23,D2D_RA,
414,16,691,691,1,696,696,701,1,48,D2D_RA,
415,12,94,98,2,104,104,109,1,34,D2D_RA,
416,4,333,337,2,344,344,349,1,12,D2D_RA,
417,12,78,82,2,88,88,93,1,34,D2D_RA,
418,8,305,305,1,312,312,317,1,23,D2D_RA,
419,6,522,522,1,529,529,534,1,18,D2D_RA,
420,2,512,512,1,520,520,525,1,6,D2D_RA,
421,6,270,274,2,280,280,285,1,17,D2D_RA,
422,11,500,538,6,512,546,551,4,31,D2D_RA,
423,14,322,322,1,328,328,333,1,42,D2D_RA,
424,16,318,355,6,330,365,370,4,46,D2D_RA,
425,14,898,898,1,904,904,909,1,40,D2D_RA,
426,10,286,290,2,297,297,302,1,28,D2D_RA,
427,13,620,624,2,632,632,637,1,37,D2D_RA,
428,8,432,432,1,440,440,445,1,22,D2D_RA,
429,3,513,513,1,522,522,527,1,8,D2D_RA,
430,3,548,552,2,560,560,565,1,8,D2D_RA,
431,9,238,242,2,250,250,255,1,25,D2D_RA,
432,15,785,785,1,792,792,797,1,45,D2D_RA,
433,7,587,608,4,593,616,621,3,19,D2D_RA,
434,12,515,528,3,522,536,541,2,34,D2D_RA,
435,7,727,738,3,736,744,749,2,20,D2D_RA,
436,11,690,690,1,696,696,701,1,33,D2D_RA,
437,1,253,257,2,265,265,270,1,2,D2D_RA,
438,3,151,155,2,163,163,168,1,7,D2D_RA,
439,3,525,529,2,536,536,541,1,7,D2D_RA,
440,2,350,354,2,364,364,369,1,6,D2D_RA,
441,7,396,400,2,408,408,413,1,20,D2D_RA,
442,14,525,529,2,537,537,542,1,41,D2D_RA,
443,4,44,48,2,56,56,61,1,10,D2D_RA,
444,5,521,521,1,529,529,534,1,13,D2D_RA,
445,14,349,353,2,361,361,366,1,40,D2D_RA,
446,7,369,369,1,377,377,382,1,19,D2D_RA,
447,16,473,473,1,481,481,486,1,47,D2D_RA,
448,2,210,210,1,218,218,223,1,4,D2D_RA,
449,11,432,442,2,440,452,457,2,33,D2D_RA,
450,15,359,363,2,370,370,375,1,44,D2D_RA,
451,3,196,200,2,208,208,213,1,7,D2D_RA,
452,10,397,411,3,409,419,424,2,29,D2D_RA,
453,4,860,864,2,872,872,877,1,10,D2D_RA,
454,13,501,505,2,513,513,518,1,38,D2D_RA,
455,3,246,250,2,257,257,262,1,8,D2D_RA,
456,8,588,592,2,600,600,605,1,22,D2D_RA,
457,9,319,323,2,330,330,335,1,26,D2D_RA,
458,8,679,683,2,689,689,694,1,24,D2D_RA,
459,1,434,434,1,442,442,447,1,3,D2D_RA,
460,11,530,530,1,537,537,542,1,32,D2D_RA,
461,15,231,259,5,241,267,272,4,43,D2D_RA,
462,2,706,706,1,713,713,718,1,4,D2D_RA,
463,4,400,400,1,408,408,413,1,10,D2D_RA,
464,2,745,754,2,752,760,765,2,4,D2D_RA,
465,11,607,611,2,617,617,622,1,33,D2D_RA,
466,9,589,624,6,600,632,637,4,25,D2D_RA,
467,15,714,714,1,720,720,725,1,44,D2D_RA,
468,5,143,147,2,153,153,158,1,15,D2D_RA,
469,13,259,259,1,265,265,270,1,39,D2D_RA,
470,10,485,489,2,496,496,501,1,30,D2D_RA,
471,10,405,418,3,416,427,432,2,29,D2D_RA,
472,3,275,275,1,282,282,287,1,7,D2D_RA,
473,3,235,235,1,243,243,248,1,8,D2D_RA,
474,15,685,722,6,696,728,733,5,43,D2D_RA,
475,11,390,403,3,401,410,415,2,32,D2D_RA,
476,3,254,258,2,266,266,271,1,7,D2D_RA,
477,3,107,107,1,112,112,117,1,8,D2D_RA,
478,10,468,472,2,480,480,485,1,28,D2D_RA,
479,2,266,266,1,274,274,279,1,5,D2D_RA,
480,4,382,386,2,394,394,399,1,11,D2D_RA,
481,12,323,337,3,331,344,349,2,35,D2D_RA,
482,1,482,482,1,491,491,496,1,1,D2D_RA,
483,14,525,529,2,537,537,542,1,42,D2D_RA,
484,14,227,235,2,233,243,248,2,40,D2D_RA,
485,9,244,258,3,256,266,271,2,26,D2D_RA,
486,5,301,305,2,313,313,318,1,13,D2D_RA,
487,16,587,587,1,594,594,599,1,48,D2D_RA,
488,1,584,594,2,592,602,607,2,1,D2D_RA,
489,3,439,443,2,453,453,458,1,9,D2D_RA,
